feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
626,0.0013333333333333333,LightGBM,paper_params,search,10,9,5
4148,0.0013333333333333333,LightGBM,paper_params,search,10,60,8
908,0.0013333333333333333,LightGBM,paper_params,search,10,13,11
4222,0.0013333333333333333,LightGBM,paper_params,search,10,61,13
1521,0.0013333333333333333,LightGBM,paper_params,search,10,22,3
2083,0.0013333333333333333,LightGBM,paper_params,search,10,30,13
2967,0.0013333333333333333,LightGBM,paper_params,search,10,43,0
4564,0.0013333333333333333,LightGBM,paper_params,search,10,66,10
2494,0.0013333333333333333,LightGBM,paper_params,search,10,36,10
1807,0.0013333333333333333,LightGBM,paper_params,search,10,26,13
1589,0.0013333333333333333,LightGBM,paper_params,search,10,23,2
1849,0.00125,LightGBM,paper_params,search,10,26,55
1602,0.00125,LightGBM,paper_params,search,10,23,15
1590,0.00125,LightGBM,paper_params,search,10,23,3
4152,0.00125,LightGBM,paper_params,search,10,60,12
4289,0.00125,LightGBM,paper_params,search,10,62,11
1643,0.00125,LightGBM,paper_params,search,10,23,56
4606,0.00125,LightGBM,paper_params,search,10,66,52
1795,0.00125,LightGBM,paper_params,search,10,26,1
222,0.00125,LightGBM,paper_params,search,10,3,15
2814,0.00125,LightGBM,paper_params,search,10,40,54
842,0.00125,LightGBM,paper_params,search,10,12,14
4536,0.00125,LightGBM,paper_params,search,10,65,51
4458,0.00125,LightGBM,paper_params,search,10,64,42
829,0.00125,LightGBM,paper_params,search,10,12,1
3117,0.00125,LightGBM,paper_params,search,10,45,12
2952,0.00125,LightGBM,paper_params,search,10,42,54
2943,0.00125,LightGBM,paper_params,search,10,42,45
3659,0.00125,LightGBM,paper_params,search,10,53,2
919,0.00125,LightGBM,paper_params,search,10,13,22
3612,0.00125,LightGBM,paper_params,search,10,52,24
4062,0.00125,LightGBM,paper_params,search,10,58,60
2493,0.00125,LightGBM,paper_params,search,10,36,9
2552,0.00125,LightGBM,paper_params,search,10,36,68
1802,0.00125,LightGBM,paper_params,search,10,26,8
4290,0.00125,LightGBM,paper_params,search,10,62,12
1464,0.00125,LightGBM,paper_params,search,10,21,15
690,0.00125,LightGBM,paper_params,search,10,10,0
3840,0.00125,LightGBM,paper_params,search,10,55,45
1378,0.00125,LightGBM,paper_params,search,10,19,67
3109,0.00125,LightGBM,paper_params,search,10,45,4
2898,0.00125,LightGBM,paper_params,search,10,42,0
3186,0.0011666666666666668,LightGBM,paper_params,search,10,46,12
3116,0.0011666666666666668,LightGBM,paper_params,search,10,45,11
1293,0.0011666666666666668,LightGBM,paper_params,search,10,18,51
3728,0.0011666666666666668,LightGBM,paper_params,search,10,54,2
911,0.0011666666666666668,LightGBM,paper_params,search,10,13,14
1321,0.0011666666666666668,LightGBM,paper_params,search,10,19,10
4398,0.0011666666666666668,LightGBM,paper_params,search,10,63,51
4465,0.0011666666666666668,LightGBM,paper_params,search,10,64,49
118,0.0011666666666666668,LightGBM,paper_params,search,10,1,49
4049,0.0011666666666666668,LightGBM,paper_params,search,10,58,47
2002,0.0011666666666666668,LightGBM,paper_params,search,10,29,1
2001,0.0011666666666666668,LightGBM,paper_params,search,10,29,0
4154,0.0011666666666666668,LightGBM,paper_params,search,10,60,14
4359,0.0011666666666666668,LightGBM,paper_params,search,10,63,12
523,0.0011666666666666668,LightGBM,paper_params,search,10,7,40
2425,0.0011666666666666668,LightGBM,paper_params,search,10,35,10
2562,0.0011666666666666668,LightGBM,paper_params,search,10,37,9
3850,0.0011666666666666668,LightGBM,paper_params,search,10,55,55
147,0.0011666666666666668,LightGBM,paper_params,search,10,2,9
695,0.0011666666666666668,LightGBM,paper_params,search,10,10,5
963,0.0011666666666666668,LightGBM,paper_params,search,10,13,66
1876,0.0011666666666666668,LightGBM,paper_params,search,10,27,13
4537,0.0011666666666666668,LightGBM,paper_params,search,10,65,52
703,0.0011666666666666668,LightGBM,paper_params,search,10,10,13
759,0.0011666666666666668,LightGBM,paper_params,search,10,11,0
4085,0.0011666666666666668,LightGBM,paper_params,search,10,59,14
897,0.0011666666666666668,LightGBM,paper_params,search,10,13,0
530,0.0011666666666666668,LightGBM,paper_params,search,10,7,47
1240,0.0010833333333333333,LightGBM,paper_params,search,10,17,67
1594,0.0010833333333333333,LightGBM,paper_params,search,10,23,7
292,0.0010833333333333333,LightGBM,paper_params,search,10,4,16
746,0.0010833333333333333,LightGBM,paper_params,search,10,10,56
522,0.0010833333333333333,LightGBM,paper_params,search,10,7,39
668,0.0010833333333333333,LightGBM,paper_params,search,10,9,47
691,0.0010833333333333333,LightGBM,paper_params,search,10,10,1
1701,0.0010833333333333333,LightGBM,paper_params,search,10,24,45
1459,0.0010833333333333333,LightGBM,paper_params,search,10,21,10
598,0.0010833333333333333,LightGBM,paper_params,search,10,8,46
3851,0.0010833333333333333,LightGBM,paper_params,search,10,55,56
3499,0.0010833333333333333,LightGBM,paper_params,search,10,50,49
628,0.0010833333333333333,LightGBM,paper_params,search,10,9,7
1154,0.0010833333333333333,LightGBM,paper_params,search,10,16,50
1448,0.0010833333333333333,LightGBM,paper_params,search,10,20,68
1485,0.001,LightGBM,paper_params,search,10,21,36
291,0.001,LightGBM,paper_params,search,10,4,15
698,0.001,LightGBM,paper_params,search,10,10,8
2912,0.001,LightGBM,paper_params,search,10,42,14
3139,0.001,LightGBM,paper_params,search,10,45,34
223,0.001,LightGBM,paper_params,search,10,3,16
605,0.001,LightGBM,paper_params,search,10,8,53
4399,0.001,LightGBM,paper_params,search,10,63,52
3591,0.001,LightGBM,paper_params,search,10,52,3
4633,0.001,LightGBM,paper_params,search,10,67,10
1733,0.001,LightGBM,paper_params,search,10,25,8
3797,0.001,LightGBM,paper_params,search,10,55,2
1084,0.001,LightGBM,paper_params,search,10,15,49
2328,0.001,LightGBM,paper_params,search,10,33,51
735,0.001,LightGBM,paper_params,search,10,10,45
3178,0.0009166666666666666,LightGBM,paper_params,search,10,46,4
2944,0.0009166666666666666,LightGBM,paper_params,search,10,42,46
1155,0.0009166666666666666,LightGBM,paper_params,search,10,16,51
2729,0.0009166666666666666,LightGBM,paper_params,search,10,39,38
